campaign_id,click_rate
1889,0.0699833834299421
1890,0.4204392368257544
1891,0.2250967720909523
1892,0.2343035815903328
1893,0.13024152825846497
1894,0.057221092952117136
1895,0.011578494282609084
1896,0.03723498864536305
1897,0.04014566627204046
1898,0.04186208937144159
1899,0.04645031790560519
1900,0.07371486344981909
1901,0.04476955175576164
1902,0.03239496402102477
1903,0.0515708487310258
1904,0.01971299129176464
1905,0.024220833729381948
1906,0.032316754438562655
1907,0.040439031782456517
1908,0.05488587726891467
1909,0.03671241975874847
1910,0.036050024170317115
1911,0.009349439636136953
1912,0.011769150581864172
1913,0.034342287713777925
1914,0.04175756035732193
1915,0.08426317850403002
1916,0.015025772758082279
1917,0.1340560083280023
1918,0.04485656456062042
1919,0.04426448053153823
1920,0.07886389151703495
1921,0.03604097714701207
1922,0.14958171837317852
1923,0.03691567601703794
1924,0.05042812437145962
1925,0.03142356706323488
1926,0.014298582152862688
1927,0.012287648634161178
1928,0.04393327110007719
1929,0.02432154352560544
1930,0.032135277909649304
1931,0.03408228985572733
1932,0.08276944853620875
1933,0.08189289287315903
1934,0.02024410169978603
1935,0.054338684616737985
1936,0.025749441931563814
1937,0.06990003493755487
1938,0.014137985650710654
1939,0.06823885440117294
1940,0.01568582796153362
1941,0.019834084378641228
1942,0.027612925022454146
1943,0.031403557856555755
1944,0.026254541227338203
1945,0.07425804515241104
1946,0.026928804785141907
1947,0.02570245514309258
1948,0.029219354777713914
1949,0.0819154135476818
1950,0.027383818491055516
1951,0.07951838361595905
1952,0.012219201767545535
1953,0.055235893154021845
1954,0.012420174565845378
1955,0.012864306464964493
1956,0.0874299430039898
1957,0.029598692806374168
1958,0.09269669926763967
1959,0.03340932977850995
1960,0.13871749246160608
1961,0.037494720936407815
1962,0.028267107930472702
1963,0.10061998613922536
1964,0.12461584381988064
1965,0.030033610690831963
1966,0.06665089693059485
1967,0.012492994116155225
1968,0.10084027240279568
1969,0.041876008653483135
1970,0.027091747478750178
1971,0.08880881977215913
1972,0.03814536202929975
1973,0.04614263251857774
1974,0.12753179854523222
1975,0.020757246655452928
1976,0.06299676084406287
1977,0.0755832080787519
1978,0.028533916623932606
1979,0.03395444753687083
1980,0.024323723744322328
1981,0.0791768305812621
1982,0.03593604446893289
1983,0.014026224861343601
1984,0.06981454327726533
1985,0.03306580373475629
1986,0.07901633231417937
1987,0.032643982443844734
1988,0.02314738354031588
1989,0.09328406342740474
1990,0.09328406342740474
1991,0.09328406342740474
1992,0.009560868394757406
1993,0.0353619643901915
1994,0.048770472149710885
1995,0.03825409409729716
1996,0.026969531017388134
1997,0.019676653154293358
1998,0.05819962423986793
1999,0.1109946105636028
2000,0.04383516458748039
2001,0.11419466269667156
2002,0.04740382069831121
2003,0.017542252086447278
2004,0.018127581637067118
2005,0.15400017382013131
2006,0.10798084940095842
2007,0.09372262701397832
2008,0.05495605238506771
2009,0.032785222194265884
2010,0.05301895952032511
2011,0.07084773325182595
2012,0.014992231315892272
2013,0.03467007821508248
2014,0.056056858663318054
2015,0.04393076007525182
2016,0.0315670153552018
2017,0.013543740133181114
2018,0.046700797460108225
2019,0.04150135741378506
2020,0.058265377571206124
2021,0.011668969947896835
2022,0.037539662281315125
2023,0.07215544211355678
2024,0.07337976659190479
2025,0.03891157612825802
2026,0.04217286220659397
2027,0.03529688912932372
2028,0.029664388909737816
2029,0.01673603472222154
2030,0.0841699271022861
2031,0.05953517111855123
2032,0.0702340821434448
2033,0.1507851564929495
2034,0.015331464631495898
2035,0.050162146794468045
2036,0.12623034512383915
2037,0.04435047558122087
2038,0.015623994176720469
2039,0.0817765149511183
2040,0.10406302082644593
2041,0.1960500307747605
2042,0.05576748172228327
2043,0.02007944394700213
2044,0.06616107863674967
2045,0.036146859365083536
2046,0.05511522454127319
2047,0.011950431996135814
2048,0.01065400025608516
2049,0.02232643652901368
2050,0.2125818283932958
2051,0.022479656688752226
2052,0.025102019862469648
2053,0.009967472735087649
2054,0.019835104867743286
2055,0.03548488979595889
2056,0.11069311042366932
2057,0.030893434646318454
2058,0.02319696718340543
2059,0.073130441807467
2060,0.0511937475326417
2061,0.09007983447941678
2062,0.13286297254794818
2063,0.015807512166799036
2064,0.055813890764973006
2065,0.03650558005231338
2066,0.021777673632412727
2067,0.11519038900891791
2068,0.0262065100622646
2069,0.054204618180726444
2070,0.10201739956529636
2071,0.03631087233798836
2072,0.03167607608522149
2073,0.02274242350196449
2074,0.03150802831456354
2075,0.015320168025766565
2076,0.08751818796903466
2077,0.18181457587291788
2078,0.16894985177908442
2079,0.06898482722647727
2080,0.07512505224207267
2081,0.04830057939584971
2082,0.113637691487477
2083,0.06117731495887173
2084,0.10071982748111072
2085,0.03152894633393495
2086,0.01772508195140458
2087,0.07262956201907332
2088,0.07171001984477496
2089,0.048132634818226105
2090,0.03879661919957115
2091,0.053436110459937174
2092,0.032338528995422965
2093,0.09978210956704166
2094,0.06649654525470826
2095,0.17775732362779575
2096,0.1444418396349431
2097,0.23384597282853764
2098,0.03140819168763163
2099,0.08350562966411534
2100,0.035583764461035325
2101,0.05324888767568237
2102,0.11127995642660492
2103,0.0190795137425668
2104,0.06928594737779425
2105,0.0972337539891024
2106,0.057551405927406145
2107,0.0405894968949616
2108,0.05346668155121769
2109,0.0726967427982784
2110,0.17146799162760287
2111,0.06757092189324447
2112,0.07955811133351982
2113,0.01871529861476126
2114,0.031273535157403234
2115,0.07680864749767183
2116,0.10269361934664126
2117,0.0268092163265722
2118,0.041897011631941365
2119,0.024492745753749202
2120,0.018447947285389805
2121,0.06852795664259421
2122,0.05576713720672041
2123,0.016844208919384807
2124,0.029622788714592084
2125,0.035969704582581086
2126,0.11036598484794165
2127,0.01878513279334044
2128,0.03082585774843944
2129,0.015345290720530237
