date,hour,demand
2021-03-01,0,83.76254329991843
2021-03-01,1,79.18293026264904
2021-03-01,2,81.78707238620973
2021-03-01,3,81.67977879585453
2021-03-01,5,82.18277784523744
2021-03-01,6,82.32277970159512
2021-03-01,7,82.47203581325172
2021-03-01,8,82.54943192474241
2021-03-01,9,82.60566183114744
2021-03-01,10,82.64028148675202
2021-03-01,11,82.66359878490377
2021-03-01,12,82.67883200961572
2021-03-01,13,82.68913950089849
2021-03-01,14,82.69619883517701
2021-03-01,15,82.70119976417807
2021-03-01,16,82.70487014313875
2021-03-01,17,82.70768894960004
2021-03-01,18,82.70996002796892
2021-03-01,19,82.71187968221331
2021-03-01,20,82.7135735819748
2021-03-01,21,82.71512254714067
2021-03-01,22,82.7165784353252
2021-03-01,23,82.7179745587404
2021-03-02,0,82.71933230419998
2021-03-02,1,82.72066540620368
2021-03-02,2,82.72198268371484
2021-03-02,4,82.7232897998208
2021-03-02,6,82.72459039093678
2021-03-02,7,82.72588679214098
2021-03-02,8,82.72718050286107
2021-03-02,9,82.72847248593132
2021-03-02,10,82.72976335961948
2021-03-02,11,82.7310535209362
2021-03-02,12,82.73234322481528
2021-03-02,13,82.7336326349583
2021-03-02,14,82.73492185648352
2021-03-02,15,82.73621095689093
2021-03-02,16,82.73749997952453
2021-03-02,17,82.73878895221695
2021-03-02,18,82.74007789284046
2021-03-02,19,82.74136681287145
2021-03-02,20,82.74265571967929
2021-03-02,21,82.7439446179961
2021-03-02,22,82.74523351086054
2021-03-02,23,82.74652240022382
2021-03-03,0,82.74781128733889
2021-03-03,2,82.74910017301032
2021-03-03,3,82.75038905775473
2021-03-03,4,82.75167794190388
2021-03-03,5,82.75296682567078
2021-03-03,6,82.75425570919224
2021-03-03,7,82.75554459255608
2021-03-03,8,82.75683347581871
2021-03-03,9,82.75812235901635
2021-03-03,10,82.75941124217226
2021-03-03,11,82.76070012530137
2021-03-03,12,82.76198900841328
2021-03-03,13,82.76327789151414
2021-03-03,14,82.7645667746079
2021-03-03,15,82.7658556576971
2021-03-03,16,82.76714454078338
2021-03-03,17,82.76843342386778
2021-03-03,18,82.76972230695097
2021-03-03,19,82.77101119003338
2021-03-03,20,82.7723000731153
2021-03-03,21,82.77358895619692
2021-03-03,22,82.77487783927832
2021-03-03,23,82.77616672235959
2021-03-04,0,82.77745560544078
2021-03-04,1,82.77874448852191
2021-03-04,2,82.78003337160301
2021-03-04,4,82.78132225468407
2021-03-04,6,82.78261113776513
2021-03-04,7,82.78390002084618
2021-03-04,8,82.78518890392722
2021-03-04,9,82.78647778700827
2021-03-04,10,82.78776667008931
2021-03-04,11,82.78905555317034
2021-03-04,12,82.79034443625137
2021-03-04,13,82.7916333193324
2021-03-04,14,82.79292220241344
2021-03-04,15,82.79421108549447
2021-03-04,16,82.7954999685755
2021-03-04,17,82.79678885165653
2021-03-04,18,82.79807773473756
2021-03-04,19,82.79936661781859
2021-03-04,20,82.80065550089962
2021-03-04,21,82.80194438398065
2021-03-04,22,82.80323326706169
2021-03-04,23,82.80452215014272
2021-03-05,0,82.80581103322375
2021-03-05,1,82.80709991630478
2021-03-05,2,82.80838879938581
2021-03-05,3,82.80967768246684
2021-03-05,4,82.81096656554787
2021-03-05,5,82.8122554486289
2021-03-05,6,82.81354433170993
2021-03-05,7,82.81483321479097
2021-03-05,8,82.816122097872
2021-03-05,9,82.81741098095303
2021-03-05,10,82.81869986403406
2021-03-05,11,82.81998874711509
2021-03-05,12,82.82127763019612
2021-03-05,13,82.82256651327715
2021-03-05,14,82.82385539635818
2021-03-05,15,82.82514427943921
2021-03-05,16,82.82643316252025
2021-03-05,17,82.82772204560128
2021-03-05,18,82.82901092868231
2021-03-05,19,82.83029981176334
2021-03-05,20,82.83158869484437
2021-03-05,21,82.8328775779254
2021-03-05,22,82.83416646100643
2021-03-05,23,82.83545534408746
2021-03-06,0,82.8367442271685
2021-03-06,1,82.83803311024953
2021-03-06,2,82.83932199333056
2021-03-06,4,82.84061087641159
2021-03-06,7,82.84189975949262
2021-03-06,8,82.84318864257365
2021-03-06,9,82.84447752565468
2021-03-06,10,82.84576640873571
2021-03-06,11,82.84705529181674
2021-03-06,12,82.84834417489778
2021-03-06,13,82.8496330579788
2021-03-06,14,82.85092194105984
2021-03-06,15,82.85221082414087
2021-03-06,16,82.8534997072219
2021-03-06,17,82.85478859030293
2021-03-06,18,82.85607747338396
2021-03-06,19,82.857366356465
2021-03-06,20,82.85865523954602
2021-03-06,21,82.85994412262706
2021-03-06,22,82.86123300570809
2021-03-06,23,82.86252188878912
2021-03-07,0,82.86381077187015
2021-03-07,1,82.86509965495118
2021-03-07,2,82.86638853803221
2021-03-07,3,82.86767742111324
2021-03-07,4,82.86896630419427
2021-03-07,5,82.8702551872753
2021-03-07,7,82.87154407035634
2021-03-07,8,82.87283295343737
2021-03-07,9,82.8741218365184
2021-03-07,10,82.87541071959943
2021-03-07,11,82.87669960268046
2021-03-07,12,82.87798848576149
2021-03-07,13,82.87927736884252
2021-03-07,14,82.88056625192355
2021-03-07,15,82.88185513500459
2021-03-07,16,82.88314401808562
2021-03-07,17,82.88443290116665
2021-03-07,18,82.88572178424768
2021-03-07,19,82.88701066732871
2021-03-07,20,82.88829955040974
2021-03-07,21,82.88958843349077
2021-03-07,22,82.8908773165718
2021-03-07,23,82.89216619965283
2021-03-08,0,82.89345508273387
2021-03-08,1,82.8947439658149
2021-03-08,2,82.89603284889593
2021-03-08,3,82.89732173197696
2021-03-08,4,82.89861061505799
2021-03-08,6,82.89989949813902
2021-03-08,7,82.90118838122005
2021-03-08,8,82.90247726430108
2021-03-08,9,82.90376614738211
2021-03-08,10,82.90505503046315
2021-03-08,11,82.90634391354418
2021-03-08,12,82.90763279662521
2021-03-08,13,82.90892167970624
2021-03-08,14,82.91021056278727
2021-03-08,15,82.9114994458683
2021-03-08,16,82.91278832894933
2021-03-08,17,82.91407721203036
2021-03-08,18,82.9153660951114
2021-03-08,19,82.91665497819243
2021-03-08,20,82.91794386127346
2021-03-08,21,82.91923274435449
2021-03-08,22,82.92052162743552
2021-03-08,23,82.92181051051655
2021-03-09,0,82.92309939359758
2021-03-09,1,82.92438827667861
2021-03-09,2,82.92567715975964
2021-03-09,3,82.92696604284068
2021-03-09,4,82.9282549259217
2021-03-09,5,82.92954380900274
2021-03-09,6,82.93083269208377
2021-03-09,7,82.9321215751648
2021-03-09,8,82.93341045824583
2021-03-09,9,82.93469934132686
2021-03-09,10,82.9359882244079
2021-03-09,11,82.93727710748892
2021-03-09,12,82.93856599056996
2021-03-09,13,82.93985487365099
2021-03-09,14,82.94114375673202
2021-03-09,15,82.94243263981305
2021-03-09,16,82.94372152289408
2021-03-09,17,82.94501040597511
2021-03-09,18,82.94629928905614
2021-03-09,19,82.94758817213717
2021-03-09,20,82.9488770552182
2021-03-09,21,82.95016593829924
2021-03-09,22,82.95145482138027
2021-03-09,23,82.9527437044613
2021-03-10,0,82.95403258754233
2021-03-10,1,82.95532147062336
2021-03-10,2,82.95661035370439
2021-03-10,4,82.95789923678542
2021-03-10,6,82.95918811986645
2021-03-10,7,82.96047700294748
2021-03-10,8,82.96176588602852
2021-03-10,9,82.96305476910955
2021-03-10,10,82.96434365219058
2021-03-10,11,82.96563253527161
2021-03-10,12,82.96692141835264
2021-03-10,13,82.96821030143367
2021-03-10,14,82.9694991845147
2021-03-10,15,82.97078806759573
2021-03-10,16,82.97207695067677
2021-03-10,17,82.9733658337578
2021-03-10,18,82.97465471683883
2021-03-10,19,82.97594359991986
2021-03-10,20,82.97723248300089
2021-03-10,21,82.97852136608192
2021-03-10,22,82.97981024916295
2021-03-10,23,82.98109913224398
2021-03-11,0,82.98238801532501
2021-03-11,2,82.98367689840605
2021-03-11,3,82.98496578148708
2021-03-11,4,82.98625466456811
2021-03-11,5,82.98754354764914
2021-03-11,6,82.98883243073017
2021-03-11,7,82.9901213138112
2021-03-11,8,82.99141019689223
2021-03-11,9,82.99269907997326
2021-03-11,10,82.9939879630543
2021-03-11,11,82.99527684613533
2021-03-11,12,82.99656572921636
2021-03-11,13,82.99785461229739
2021-03-11,14,82.99914349537842
2021-03-11,15,83.00043237845945
2021-03-11,16,83.00172126154048
2021-03-11,17,83.00301014462151
2021-03-11,18,83.00429902770254
2021-03-11,19,83.00558791078358
2021-03-11,20,83.0068767938646
2021-03-11,21,83.00816567694564
2021-03-11,22,83.00945456002667
2021-03-11,23,83.0107434431077
2021-03-12,0,83.01203232618873
2021-03-12,1,83.01332120926976
2021-03-12,2,83.0146100923508
2021-03-12,4,83.01589897543182
2021-03-12,5,83.01718785851286
2021-03-12,6,83.01847674159389
2021-03-12,7,83.01976562467492
2021-03-12,8,83.02105450775595
2021-03-12,9,83.02234339083698
2021-03-12,10,83.02363227391801
2021-03-12,11,83.02492115699904
2021-03-12,12,83.02621004008007
2021-03-12,13,83.0274989231611
2021-03-12,14,83.02878780624214
2021-03-12,15,83.03007668932317
2021-03-12,16,83.0313655724042
2021-03-12,17,83.03265445548523
2021-03-12,18,83.03394333856626
2021-03-12,19,83.03523222164729
2021-03-12,20,83.03652110472832
2021-03-12,21,83.03780998780935
2021-03-12,22,83.03909887089038
2021-03-12,23,83.04038775397142
2021-03-13,0,83.04167663705245
2021-03-13,1,83.04296552013348
2021-03-13,2,83.04425440321451
2021-03-13,5,83.04554328629554
