row_id,engagement_score
89198,4.042599999999999
89199,3.195000000000002
89200,2.6915000000000004
89201,3.678600000000003
89202,1.6584999999999985
89203,3.3253000000000004
89204,3.7754000000000003
89205,4.189900000000001
89206,2.6610000000000027
89207,4.306099999999998
89208,3.928399999999997
89209,3.948800000000003
89210,3.642900000000001
89211,4.3450999999999995
89212,3.4542999999999995
89213,3.353999999999999
89214,2.2084
89215,3.814900000000002
89216,4.334300000000002
89217,3.0664000000000002
89218,4.137800000000002
89219,2.622099999999997
89220,2.6057000000000015
89221,3.5329000000000006
89222,3.5510000000000024
89223,4.084699999999997
89224,3.0424999999999995
89225,3.354100000000001
89226,3.3697999999999992
89227,3.6323000000000025
89228,3.812199999999998
89229,2.9504999999999955
89230,3.4237000000000006
89231,3.547199999999996
89232,3.4540999999999986
89233,3.088799999999998
89234,3.459300000000003
89235,3.8576000000000037
89236,3.6881
89237,3.9833000000000016
89238,3.8
89239,3.5887000000000007
89240,3.728999999999999
89241,3.9512000000000027
89242,4.160699999999997
89243,4.2871000000000015
89244,4.266500000000002
89245,3.885000000000004
89246,3.660200000000005
89247,2.6397999999999984
89248,4.0127999999999995
89249,2.4575000000000005
89250,4.203099999999997
89251,2.4419999999999993
89252,3.847800000000001
89253,2.683900000000003
89254,3.256999999999999
89255,3.2219000000000038
89256,3.1690999999999985
89257,4.087300000000003
89258,4.015900000000004
89259,3.2515999999999967
89260,2.7289999999999988
89261,2.8562000000000016
89262,3.6883000000000057
89263,3.8756000000000035
89264,4.203599999999996
89265,2.6542000000000012
89266,3.8971
89267,3.759800000000001
89268,3.5485999999999978
89269,3.6020000000000025
89270,4.017000000000001
89271,3.4733000000000027
89272,3.926200000000004
89273,3.8743
89274,3.4102000000000006
89275,3.4049999999999994
89276,3.145600000000003
89277,2.3355000000000037
89278,3.310400000000001
89279,2.738999999999998
89280,3.4693999999999967
89281,3.8974999999999973
89282,3.1781000000000064
89283,4.408700000000003
89284,4.320600000000005
89285,3.1403000000000003
89286,3.5857999999999994
89287,3.397600000000001
89288,3.8970000000000034
89289,4.021399999999998
89290,3.980400000000003
89291,3.021900000000004
89292,4.158400000000001
89293,4.404800000000003
89294,3.5602
89295,3.1715999999999984
89296,3.2772000000000014
89297,3.8209000000000004
89298,3.320600000000001
89299,4.3666000000000045
89300,3.931699999999999
89301,3.9858000000000033
89302,3.590399999999997
89303,2.3511999999999973
89304,4.0192
89305,4.229300000000004
89306,3.451700000000005
89307,3.761299999999996
89308,3.6361999999999965
89309,4.1536
89310,3.143800000000003
89311,2.649300000000002
89312,3.679400000000003
89313,4.036499999999998
89314,3.7965999999999998
89315,3.477499999999998
89316,2.5617999999999976
89317,2.5036000000000005
89318,2.8975999999999975
89319,2.5681999999999987
89320,3.867200000000003
89321,3.6917000000000035
89322,3.373299999999999
89323,4.1991000000000005
89324,3.575000000000001
89325,3.975000000000002
89326,4.176500000000002
89327,4.223
89328,3.064700000000002
89329,3.4983999999999997
89330,2.675100000000001
89331,4.548500000000003
89332,3.7034000000000007
89333,4.051400000000001
89334,3.560000000000001
89335,4.0267
89336,2.048599999999999
